x,y,z
0.68796,1.83456,9.24924
0.68796,1.83456,9.24924
0.91728,1.83456,9.32568
0.91728,1.83456,9.32568
0.91728,1.83456,9.32568
0.3822,1.911,9.40212
0.3822,1.911,9.40212
0.3822,1.911,9.40212
0.3822,1.911,9.40212
0.53508,2.06388,8.10264
0.53508,2.06388,8.10264
0.53508,2.06388,8.10264
0.53508,2.06388,8.10264
0.53508,2.06388,8.10264
1.07016,1.98744,9.09636
1.07016,1.98744,9.09636
1.07016,1.98744,9.09636
0.53508,2.06388,9.09636
0.53508,2.06388,9.09636
0.53508,2.06388,9.09636
0.53508,2.06388,9.09636
0.53508,2.06388,9.09636
0.91728,1.5288,9.1728
0.91728,1.5288,9.1728
0.91728,1.5288,9.1728
0.91728,1.5288,9.1728
0.7644,1.98744,8.63772
0.7644,1.98744,8.63772
0.7644,1.98744,8.63772
0.7644,1.98744,8.63772
0.91728,1.75812,8.10264
0.91728,1.75812,8.10264
0.91728,1.75812,8.10264
0.99372,1.911,9.09636
0.99372,1.911,9.09636
0.99372,1.911,9.09636
0.99372,1.911,9.09636
0.84084,1.83456,9.78432
0.84084,1.83456,9.78432
0.84084,1.83456,9.78432
0.84084,1.83456,9.78432
0.84084,1.83456,9.78432
1.07016,2.21676,9.47856
1.07016,2.21676,9.47856
1.07016,2.21676,9.47856
1.07016,2.21676,9.47856
0.84084,2.14032,9.47856
0.84084,2.14032,9.47856
0.84084,2.14032,9.47856
0.84084,2.14032,9.47856
1.22304,2.44608,8.7906
1.22304,2.44608,8.7906
1.22304,2.44608,8.7906
1.22304,2.44608,8.7906
0.53508,2.6754,9.555
0.53508,2.6754,9.555
0.53508,2.6754,9.555
0.53508,2.6754,9.555
0.68796,1.83456,8.71416
0.68796,1.83456,8.71416
0.68796,1.83456,8.71416
0.68796,1.83456,8.71416
0.68796,1.83456,8.71416
0.30576,2.06388,9.63144
0.30576,2.06388,9.63144
0.30576,2.06388,9.63144
0.91728,1.83456,9.01992
0.91728,1.83456,9.01992
0.91728,1.83456,9.01992
0.91728,1.83456,9.01992
0.91728,1.98744,9.86076
0.91728,1.98744,9.86076
0.91728,1.98744,9.86076
0.91728,1.98744,9.86076
0.84084,2.06388,8.7906
0.84084,2.06388,8.7906
0.84084,2.06388,8.7906
0.84084,2.06388,8.7906
0.91728,2.14032,8.10264
0.91728,2.14032,8.10264
0.91728,2.14032,8.10264
0.91728,2.14032,8.10264
0.91728,2.14032,8.10264
0.3822,2.14032,9.24924
0.3822,2.14032,9.24924
0.3822,2.14032,9.24924
0.3822,2.14032,9.24924
1.22304,1.60524,8.7906
1.22304,1.60524,8.7906
1.22304,1.60524,8.7906
1.22304,1.60524,8.7906
1.29948,1.60524,8.86704
1.29948,1.60524,8.86704
1.29948,1.60524,8.86704
1.29948,1.60524,8.86704
1.68168,1.37592,8.7906
1.68168,1.37592,8.7906
1.68168,1.37592,8.7906
1.68168,1.37592,8.7906
1.68168,1.37592,8.7906
1.60524,1.75812,8.48484
1.60524,1.75812,8.48484
1.60524,1.75812,8.48484
1.60524,1.75812,8.48484
1.68168,1.60524,8.71416
1.68168,1.60524,8.71416
1.68168,1.60524,8.71416
1.68168,1.60524,8.71416
1.60524,1.45236,7.72044
1.60524,1.45236,7.72044
1.60524,1.45236,7.72044
1.60524,1.45236,7.72044
0.3822,2.06388,9.47856
0.3822,2.06388,9.47856
0.3822,2.06388,9.47856
0.3822,2.06388,9.47856
0.3822,2.06388,9.47856
0.91728,2.14032,8.48484
0.91728,2.14032,8.48484
0.91728,2.14032,8.48484
0.91728,2.14032,8.48484
0.53508,2.14032,8.7906
0.53508,2.14032,8.7906
0.53508,2.14032,8.7906
0.53508,2.14032,8.7906
1.07016,2.14032,8.7906
1.07016,2.14032,8.7906
1.07016,2.14032,8.7906
1.07016,2.14032,8.7906
1.45236,1.83456,8.63772
1.45236,1.83456,8.63772
0.99372,1.60524,9.40212
0.99372,1.60524,9.40212
0.99372,1.60524,9.40212
