x,y,z
-0.61152,1.29948,7.33824
-0.91728,2.06388,7.87332
-0.91728,2.52252,7.94976
-0.99372,2.44608,8.17908
-1.45236,2.2932,8.48484
-1.68168,1.75812,9.1728
-2.14032,1.45236,10.0136
-1.911,1.1466,10.8545
-1.22304,0.61152,11.6189
-0.68796,0.91728,12.0011
-0.30576,0.53508,12.154
0.91728,0.15288,11.8482
0.15288,1.22304,12.2304
1.1466,0.45864,11.2367
1.37592,0.45864,9.9372
2.14032,0.07644,7.79688
1.911,-0.3822,6.8796
0.99372,0.07644,6.26808
0.53508,0.3822,6.1152
0.7644,0.7644,5.96232
0.61152,1.37592,5.96232
0.22932,2.06388,6.4974
-0.45864,1.98744,6.65028
-0.3822,1.37592,6.95604
-0.53508,1.37592,7.41468
-0.7644,1.37592,7.56756
-1.1466,1.29948,7.79688
-1.5288,2.2932,8.4084
-1.07016,2.44608,8.25552
-0.61152,2.75184,8.63772
-0.45864,3.21048,8.63772
-0.68796,2.90472,8.71416
-0.68796,2.44608,8.86704
-0.61152,1.83456,9.09636
-0.53508,1.45236,8.33196
-0.61152,1.29948,8.0262
-0.68796,1.83456,10.1665
-0.53508,2.06388,8.86704
-0.61152,1.75812,9.24924
-1.29948,2.14032,10.0136
-1.45236,2.36964,9.78432
-0.91728,1.37592,9.01992
-0.99372,1.5288,7.49112
-0.61152,0.91728,10.3958
-0.3822,1.68168,9.78432
-0.61152,1.5288,9.09636
-0.61152,2.06388,9.70788
-0.61152,2.06388,9.70788
-0.3822,1.45236,9.01992
-0.3822,1.45236,9.01992
-0.3822,1.45236,9.01992
-0.3822,1.45236,9.01992
-0.45864,1.68168,9.1728
-0.45864,1.68168,9.1728
-0.45864,1.68168,9.1728
-0.45864,1.68168,9.1728
-0.91728,1.68168,9.1728
-0.91728,1.68168,9.1728
-0.91728,1.68168,9.1728
-0.91728,1.68168,9.1728
-0.99372,2.14032,9.24924
-0.99372,2.14032,9.24924
-0.99372,2.14032,9.24924
-0.99372,2.14032,9.24924
-0.7644,1.68168,9.40212
-0.7644,1.68168,9.40212
-0.7644,1.68168,9.40212
-0.61152,0.91728,9.01992
-0.61152,0.91728,9.01992
-0.61152,0.91728,9.01992
-0.61152,0.91728,9.01992
-0.61152,0.91728,9.01992
-0.61152,1.60524,8.94348
-0.61152,1.60524,8.94348
-0.61152,1.60524,8.94348
-0.61152,1.60524,8.94348
-0.53508,1.98744,8.63772
-0.53508,1.98744,8.63772
-0.53508,1.98744,8.63772
-0.53508,1.98744,8.63772
-0.53508,1.29948,8.94348
-0.53508,1.29948,8.94348
-0.53508,1.29948,8.94348
-0.53508,1.29948,8.94348
-0.84084,1.37592,8.56128
-0.84084,1.37592,8.56128
-0.84084,1.37592,8.56128
-0.84084,1.37592,8.56128
-0.61152,1.37592,9.40212
-0.61152,1.37592,9.40212
-0.61152,1.37592,9.40212
-0.61152,1.37592,9.40212
-0.61152,1.37592,9.40212
-0.68796,1.68168,9.78432
-0.68796,1.68168,9.78432
-0.68796,1.68168,9.78432
-0.68796,1.68168,9.78432
-0.7644,1.60524,8.94348
-0.7644,1.60524,8.94348
-0.7644,1.60524,8.94348
-0.7644,1.60524,8.94348
-0.53508,1.45236,8.86704
-0.53508,1.45236,8.86704
-0.53508,1.45236,8.86704
-0.53508,1.45236,8.86704
-0.53508,1.68168,9.32568
-0.53508,1.68168,9.32568
-0.53508,1.68168,9.32568
-0.53508,1.68168,9.32568
-0.7644,1.83456,9.24924
-0.7644,1.83456,9.24924
-0.7644,1.83456,9.24924
-0.7644,1.83456,9.24924
-0.7644,1.83456,9.24924
-0.45864,1.5288,8.86704
-0.45864,1.5288,8.86704
-0.45864,1.5288,8.86704
-0.45864,1.5288,8.86704
-0.61152,1.22304,8.56128
-0.61152,1.22304,8.56128
-0.61152,1.22304,8.56128
-0.61152,1.22304,8.56128
-0.7644,1.75812,9.555
-0.7644,1.75812,9.555
-0.7644,1.75812,9.555
-0.7644,1.75812,9.555
-0.53508,1.45236,9.40212
-0.53508,1.45236,9.40212
-0.53508,1.45236,9.40212
-0.68796,1.83456,9.01992
-0.68796,1.83456,9.01992
-0.68796,1.83456,9.01992
-0.7644,2.06388,8.7906
-0.7644,2.06388,8.7906
-0.7644,2.06388,8.7906
-0.7644,2.06388,8.7906
-0.68796,1.68168,9.40212
-0.68796,1.68168,9.40212
-0.68796,1.68168,9.40212
-0.68796,1.68168,9.40212
-0.68796,1.68168,9.40212
-0.84084,1.1466,9.40212
-0.84084,1.1466,9.40212
-0.84084,1.1466,9.40212
-0.84084,1.1466,9.40212
-0.91728,1.60524,9.70788
-0.91728,1.60524,9.70788
-0.91728,1.60524,9.70788
-0.91728,1.60524,9.70788
-0.68796,1.5288,9.555
-0.68796,1.5288,9.555
-0.68796,1.5288,9.555
-0.68796,1.5288,9.555
-0.68796,1.75812,8.25552
-0.68796,1.75812,8.25552
-0.68796,1.75812,8.25552
-0.68796,1.75812,8.25552
-0.68796,1.75812,8.25552
-1.22304,1.83456,8.94348
-1.22304,1.83456,8.94348
-1.22304,1.83456,8.94348
-1.22304,1.83456,8.94348
-0.22932,1.45236,8.7906
-0.22932,1.45236,8.7906
-0.22932,1.45236,8.7906
-0.22932,1.45236,8.7906
-0.22932,1.37592,8.7906
-0.22932,1.37592,8.7906
-0.22932,1.37592,8.7906
-0.22932,1.37592,8.7906
-0.99372,2.2932,9.24924
-0.99372,2.2932,9.24924
-0.99372,2.2932,9.24924
-0.99372,2.2932,9.24924
-0.99372,1.911,9.40212
-0.99372,1.911,9.40212
-0.99372,1.911,9.40212
-0.99372,1.911,9.40212
-0.68796,1.5288,8.4084
-0.68796,1.5288,8.4084
-0.68796,1.5288,8.4084
-0.68796,1.5288,8.4084
-0.61152,1.1466,8.63772
-0.61152,1.1466,8.63772
-0.61152,1.1466,8.63772
-0.61152,1.1466,8.63772
-0.61152,1.1466,8.63772
-1.07016,1.68168,8.4084
-1.07016,1.68168,8.4084
-1.07016,1.68168,8.4084
-1.07016,1.68168,8.4084
-0.3822,1.60524,8.48484
-0.3822,1.60524,8.48484
-0.3822,1.60524,8.48484
-0.3822,1.60524,8.48484
-0.61152,1.60524,9.555
-0.61152,1.60524,9.555
-0.61152,1.60524,9.555
-0.61152,1.60524,9.555
-0.7644,1.68168,7.87332
-0.7644,1.68168,7.87332
-0.7644,1.68168,7.87332
-0.7644,1.68168,7.87332
-0.7644,1.68168,7.87332
-0.61152,1.5288,7.79688
-0.61152,1.5288,7.79688
-0.61152,1.5288,7.79688
-0.61152,1.5288,7.79688
-0.3822,1.5288,8.48484
-0.3822,1.5288,8.48484
-0.3822,1.5288,8.48484
-0.3822,1.5288,8.48484
-0.7644,1.45236,8.71416
-0.7644,1.45236,8.71416
-0.7644,1.45236,8.71416
-0.7644,1.45236,8.71416
-0.7644,1.75812,9.63144
-0.7644,1.75812,9.63144
-0.7644,1.75812,9.63144
-0.7644,1.75812,9.63144
-0.7644,1.75812,9.63144
-0.61152,1.60524,8.25552
-0.61152,1.60524,8.25552
-0.61152,1.60524,8.25552
-0.61152,1.60524,8.25552
-1.1466,0.99372,8.7906
-1.1466,0.99372,8.7906
-1.1466,0.99372,8.7906
-1.1466,0.99372,8.7906
-0.7644,1.911,8.71416
-0.7644,1.911,8.71416
-0.7644,1.911,8.71416
-0.7644,1.911,8.71416
-1.22304,0.7644,8.7906
-1.22304,0.7644,8.7906
-1.22304,0.7644,8.7906
-1.22304,0.7644,8.7906
-0.68796,1.22304,9.01992
-0.68796,1.22304,9.01992
-0.68796,1.22304,9.01992
-0.68796,1.22304,9.01992
-0.68796,1.22304,9.01992
-0.61152,1.22304,8.4084
-0.61152,1.22304,8.4084
-0.61152,1.22304,8.4084
-0.61152,1.22304,8.4084
-0.45864,1.5288,9.555
-0.45864,1.5288,9.555
-0.45864,1.5288,9.555
-0.45864,1.5288,9.555
-0.84084,2.75184,9.24924
-0.84084,2.75184,9.24924
-0.84084,2.75184,9.24924
-0.84084,2.75184,9.24924
-0.68796,1.45236,8.71416
-0.68796,1.45236,8.71416
-0.68796,1.45236,8.71416
-0.61152,1.60524,9.01992
-0.91728,1.60524,8.7906
-0.91728,1.60524,8.7906
-0.91728,1.60524,8.7906
-0.84084,2.06388,9.24924
-0.84084,2.06388,9.24924
-0.84084,2.06388,9.24924
-0.84084,2.06388,9.24924
-0.7644,1.98744,9.40212
-0.7644,1.98744,9.40212
-0.7644,1.98744,9.40212
-0.7644,1.98744,9.40212
-0.7644,1.98744,9.40212
-0.53508,1.60524,10.3958
-0.53508,1.60524,10.3958
